timestamp,symbol,open,high,low,close,volume
1752768600000,MSFT,513.15,513.26,513.15,513.235,20198
1752768660000,MSFT,513.24,513.245,513,513.055,22607
1752768720000,MSFT,513.03,513.2,513.03,513.14,33231
1752768780000,MSFT,513.14,513.25,513.07,513.18,23123
1752768840000,MSFT,513.17,513.29,513.12,513.18,38657
1752768900000,MSFT,513.18,513.265,513.1,513.265,17039
1752768960000,MSFT,513.265,513.329,513,513,22896
1752769020000,MSFT,513.01,513.11,512.76,512.77,24622
1752769080000,MSFT,512.775,512.905,512.7,512.74,22910
1752769140000,MSFT,512.75,512.86,512.62,512.62,22531
1752769200000,MSFT,512.63,512.965,512.63,512.965,17779
1752769260000,MSFT,512.93,512.99,512.83,512.85,18785
1752769320000,MSFT,512.85,512.88,512.73,512.775,17354
1752769380000,MSFT,512.87,512.93,512.678,512.895,21305
1752769440000,MSFT,512.87,512.99,512.85,512.885,20295
1752769500000,MSFT,512.92,512.95,512.81,512.95,15272
1752769560000,MSFT,512.95,513,512.88,512.915,11703
1752769620000,MSFT,512.89,512.97,512.85,512.89,14116
1752769680000,MSFT,512.88,512.93,512.82,512.86,18262
1752769740000,MSFT,512.84,512.96,512.81,512.845,15297
1752769800000,MSFT,512.85,512.9,512.73,512.73,15338
1752769860000,MSFT,512.76,512.805,512.74,512.77,10663
1752769920000,MSFT,512.81,512.92,512.77,512.91,13761
1752769980000,MSFT,512.91,512.98,512.87,512.88,15764
1752770040000,MSFT,512.87,512.97,512.85,512.911,12664
1752770100000,MSFT,512.95,513.047,512.92,513.01,11712
1752770160000,MSFT,513.003,513.003,512.88,512.94,13987
1752770220000,MSFT,512.937,513.13,512.93,513.12,21009
1752770280000,MSFT,513.07,513.22,513.07,513.195,7506
1752770340000,MSFT,513.17,513.2,513.04,513.15,14459
1752770400000,MSFT,513.09,513.15,513.06,513.15,10555
1752770460000,MSFT,513.1,513.185,513.037,513.037,18231
1752770520000,MSFT,513.04,513.065,512.92,512.95,15925
1752770580000,MSFT,512.93,513.02,512.87,512.91,12278
1752770640000,MSFT,512.915,512.96,512.76,512.83,13744
1752770700000,MSFT,512.85,512.91,512.78,512.86,13782
1752770760000,MSFT,512.825,512.91,512.78,512.845,21434
1752770820000,MSFT,512.86,513.24,512.81,513.19,58478
1752770880000,MSFT,513.19,513.24,513.08,513.091,15717
1752770940000,MSFT,513.13,513.18,512.99,513.13,16024
1752771000000,MSFT,513.15,513.29,513.15,513.286,18754
1752771060000,MSFT,513.3,513.3,513.08,513.09,13488
1752771120000,MSFT,513.095,513.17,513.07,513.11,18145
1752771180000,MSFT,513.075,513.09,512.92,512.92,15402
1752771240000,MSFT,512.94,512.94,512.74,512.805,26026
1752771300000,MSFT,512.805,512.842,512.72,512.837,12442
1752771360000,MSFT,512.84,512.84,512.63,512.695,13667
1752771420000,MSFT,512.695,512.84,512.69,512.825,11208
1752771480000,MSFT,512.835,512.94,512.81,512.85,14263
1752771540000,MSFT,512.842,512.88,512.77,512.785,14947
